protocol,time,analyte,mean,sd,n_obs
P2,24,SODIUM,138.9333,2.712,15
P2,3,SODIUM,135.1333,2.503,15
P2,6,SODIUM,136.0714,2.336,14
P3,0,SODIUM,138.5714,2.901,14
P3,0.5,SODIUM,140.6923,2.496,13
P3,1,SODIUM,141.2857,2.091,14
P3,1.5,SODIUM,140.4286,2.174,14
P3,2,SODIUM,139.4167,2.466,12
P3,24,SODIUM,138,2.717,14
P3,3,SODIUM,138.5714,2.533,14
P3,6,SODIUM,135.9091,2.427,11
P4,0,SODIUM,138.4,2.197,15
P4,0.5,SODIUM,139.7857,2.778,14
P4,1,SODIUM,137.9333,2.939,15
P4,1.5,SODIUM,137.2667,3.035,15
P4,2,SODIUM,136.4286,2.563,14
P4,24,SODIUM,139.0625,2.816,16
P4,3,SODIUM,136.4,2.131,15
P4,6,SODIUM,136.6429,2.79,14
P5,0,SODIUM,139.0667,2.344,15
P5,0.5,SODIUM,141.0667,1.907,15
P5,1,SODIUM,140.8667,2.56,15
P5,1.5,SODIUM,137.2143,2.486,14
P5,2,SODIUM,136.2143,1.626,14
P5,24,SODIUM,139.2143,2.992,14
P5,3,SODIUM,136.5333,2.326,15
P5,6,SODIUM,136.8667,2.615,15
P1,0,Zonulin,28.253,8.38,12
P1,1,Zonulin,31.286,8.8,12
P1,1.5,Zonulin,30.3,NA,1
P1,2,Zonulin,31.499,4.87,11
P1,24,Zonulin,31.82,6.25,12
P2,0,Zonulin,30.566,7.57,13
P2,1,Zonulin,34.672,4.82,13
P2,2,Zonulin,31.844,3.12,13
P2,24,Zonulin,33.849,4.44,13
P3,0,Zonulin,36.72,6.6,12
P3,0.5,Zonulin,33.21,NA,1
P3,1,Zonulin,37.092,6.01,12
P3,1.5,Zonulin,42.89,0.35,2
P3,2,Zonulin,39.99,4.86,11
P3,24,Zonulin,36.287,9.61,12
P3,3,Zonulin,43.78,NA,1
P3,6,Zonulin,34.6,NA,1
P4,0,Zonulin,31.454,7.98,12
P4,1,Zonulin,33.087,7.37,12
P4,2,Zonulin,31.714,7.06,12
P4,24,Zonulin,30.561,5.86,12
